job,answer
missionnaire laïc,"agences,locations,consultations"
mitron,"journaliers,entretien"
mitronne,employées pour le ménage et la ferme
mobilisé,administration publique
mobilisé à la cartoucherie,industrie chimique
modeleur,industrie textile
modeleur mécanicien,industrie des métaux
modelier,industrie du papier
modiste,"vêtements, lingerie,chaussures,literies"
"modiste,","vêtements, lingerie,chaussures,literies"
modéliste,industrie textile
moireur,industrie textile
moissonneur,"journaliers,entretien"
moissonneuse,"journalières,entretien"
moleux,"bois,liège,meubles"
mompreneur,commerce de détail
moniteur,"agences,locations,consultations"
moniteur d'auto école,"agences,locations,consultations"
moniteur d'éducation physique,administration publique
moniteur de coiffure,"vêtements, lingerie,chaussures,literies"
moniteur de culture physique,"agences,locations,consultations"
moniteur éducateur,"agences,locations,consultations"
moniteur éducatif,administration publique
monitrice d'auto école,transports
monitrice d'enfants,employées pour le ménage et la ferme
monitrice d'enseignement,administration publique
monitrice d'enseignement ménager,employées pour le ménage et la ferme
monitrice d'euroménager,"hôtellerie,restauration"
monitrice maternelle,"agences,locations,consultations"
monteur,réparations
monteur ajusteur,industrie des métaux
monteur au télégraphe,"gaz,eau,éléctricité"
monteur cableur,industrie des métaux
monteur câbleur,industrie des métaux
monteur d'acier,industrie des métaux
monteur de cables,industrie des métaux
monteur de jacquards,industrie textile
monteur de machine,industrie des métaux
monteur en charpentes métalliques,"construction,charpenterie"
monteur en chauffage,réparations
monteur en chauffage central,réparations
monteur en chauffage et sanitaire,"gaz,eau,éléctricité"
monteur en chaussure,"vêtements, lingerie,chaussures,literies"
monteur en chaussures,"vêtements, lingerie,chaussures,literies"
monteur en constructions métalliques,industrie des métaux
monteur en tsf,"gaz,eau,éléctricité"
monteur en télégraphie sans fil,"gaz,eau,éléctricité"
monteur en téléphone,réparations
monteur levageur,"construction,charpenterie"
monteur radio électricien,"gaz,eau,éléctricité"
monteur télégraphe,"gaz,eau,éléctricité"
monteur télégraphiste,transports
monteur téléphone,réparations
monteur téléphonique,réparations
monteur téléphoniste,réparations
monteur à bois,"bois,liège,meubles"
monteur à électricité,"gaz,eau,éléctricité"
monteur échaffaudeur,"construction,charpenterie"
monteur électricien,"gaz,eau,éléctricité"
monteur électricité,"gaz,eau,éléctricité"
monteuse,industrie textile
monteuse en tsf,"gaz,eau,éléctricité"
monteuse en téléphones,industrie des métaux
montreur de marionnettes,arts graphiques
monumentiste,pierre et terre
mortaiseur,"construction,charpenterie"
mortellier,pierre et terre
morutier,industrie des métaux
mosaïste,arts graphiques
motoriste,transports
motteur,transports
mouleur,industrie des métaux
mouleur aux ateliers couture,industrie textile
mouleur en fonderie,industrie des métaux
mouleur en fonte,industrie des métaux
mouleur en porcelaine,pierre et terre
mouleur en sable,pierre et terre
mouleur sur machines,industrie des métaux
mouleuse,industrie du papier
moulier,industrie du papier
moulineur,industrie du papier
moulineuse,industrie du papier
moulinier,industrie du papier
moulinier en soie,industrie textile
moureur,industrie textile
mouter,industrie du papier
moutonnier,vachers célibataires
muletier,transports
mulquinier,"vêtements, lingerie,chaussures,literies"
municipal,administration publique
musher,vachers célibataires
musheuse,employées pour le ménage et la ferme
musicien,arts graphiques
musicien ambulant,arts graphiques
musicien aux armées,administration publique
musicien de l'état,administration publique
musicien et employé de commune,administration publique
musicien et laboureur,"journaliers,entretien"
musicien gagiste,arts graphiques
musicien militaire,administration publique
musicien à l'armée,administration publique
musicienne,arts graphiques
musicienne ambulant,arts graphiques
musquinier,industrie du papier
mutilé,"journaliers,entretien"
mutilé de guerre,administration publique
mutilé du travail,réparations
mytiliculteur,produits alimentaires
mère de famille,employées pour le ménage et la ferme
mécanicien,industrie des métaux
mécanicien agricole,industrie des métaux
mécanicien ajusteur,industrie des métaux
mécanicien au cn,transports
mécanicien au plm,industrie des métaux
mécanicien auto,réparations
mécanicien automobile,réparations
mécanicien aux chemins de fer,transports
mécanicien aux chemins de fer de l'état,transports
mécanicien aux chemins de fer po,transports
mécanicien aviateur,industrie des métaux
mécanicien avion,transports
mécanicien aéronautique,industrie des métaux
mécanicien cff,transports
mécanicien cff retraité,transports
mécanicien chauffeur autobus,transports
mécanicien d'automobiles,réparations
mécanicien d'avion,transports
mécanicien d'entretien,réparations
mécanicien de bord,transports
mécanicien de garage,réparations
mécanicien de l'aéronautique,industrie des métaux
mécanicien de la marine,industrie des métaux
mécanicien de machines fixes,industrie des métaux
mécanicien de marine,industrie des métaux
mécanicien de marine marchande,transports
mécanicien de précision,industrie des métaux
mécanicien de précision sur machine à écrire,réparations
mécanicien dentiste,"bijouterie,gravure,frappe"
mécanicien diéséliste,industrie des métaux
mécanicien en automobiles,réparations
mécanicien en fer ornemental,industrie des métaux
mécanicien en tuyauterie,industrie des métaux
mécanicien en électricité,"gaz,eau,éléctricité"
mécanicien garagiste,réparations
mécanicien horloger,horlogerie
mécanicien retraité,réparations
mécanicien sur automobiles,réparations
mécanicien sur avion,transports
mécanicien torpilleur,industrie des métaux
mécanicien à l'alcan,industrie des métaux
mécanicien à l'est,industrie des métaux
mécanicien à la cff,transports
mécanicien à la marine,industrie des métaux
mécanicien-aviateur,transports
mécanicien-chauffeur,transports
mécanicien-contremaître,industrie des métaux
mécanicien-soudeur,industrie des métaux
mécanicienne,réparations
mécanicienne de confection,industrie textile
mécanicienne en chaussures,"vêtements, lingerie,chaussures,literies"
mécanicienne en confection,industrie textile
mécanicienne à fourrures,industrie textile
mécanographe,bureaux de consultation
mécanographe aide comptable,bureaux de consultation
mécanographe comptable,bureaux de consultation
mécatronicien,industrie des métaux
mécatronicienne,industrie des métaux
médecin,"agences,locations,consultations"
médecin aspirant,"agences,locations,consultations"
médecin aux armées,administration publique
médecin auxiliaire de garnison,administration publique
médecin capitaine,administration publique
médecin chirurgien,bureaux de consultation
médecin commandant,administration publique
médecin conseil,bureaux de consultation
médecin de deuxième classe de la marine,administration publique
médecin de la marine en retraite et chevalier lh,administration publique
médecin de marine,administration publique
médecin dentiste,bureaux de consultation
médecin des hospices d'arras,administration publique
médecin et croix de guerre,administration publique
médecin gynécologue,bureaux de consultation
médecin général,"agences,locations,consultations"
médecin généraliste,bureaux de consultation
médecin inspecteur,administration publique
médecin inspecteur régional,administration publique
médecin interne en chirurgie,réparations
médecin major,administration publique
médecin militaire,administration publique
médecin militaire auxilliaire,administration publique
médecin militaire en retraite,administration publique
médecin municipal,administration publique
médecin ophtalmologiste,bureaux de consultation
médecin spécialiste,bureaux de consultation
médecin vétérinaire,"agences,locations,consultations"
médiateur du livre,"agences,locations,consultations"
médiathécaire,arts graphiques
mégissier,industrie du papier
mégissière,industrie textile
mégot,réparations
ménager,employées pour le ménage et la ferme
ménager cultivateur,employées pour le ménage et la ferme
ménagère,employées pour le ménage et la ferme
ménagère au presbytère,employées pour le ménage et la ferme
ménagère en condition,employées pour le ménage et la ferme
ménagère et cultivatrice,employées pour le ménage et la ferme
ménagère et epicière,commerce de détail
ménagère et métayère,employées pour le ménage et la ferme
ménagère et propriétaire,"affaires immobilières,location"
métallier,industrie des métaux
métallière,industrie des métaux
métallographe,industrie des métaux
métallographe à l'alcan,industrie des métaux
métallurgiste,industrie des métaux
métalurgiste,industrie des métaux
métayer,employées pour le ménage et la ferme
métayer cultivateur,"journaliers,entretien"
métayer et cultivateur,"journaliers,entretien"
métayer laboureur,"journaliers,entretien"
métayère,employées pour le ménage et la ferme
métayère cultivatrice,employées pour le ménage et la ferme
métreur,"construction,charpenterie"
métreur vérificateur,"construction,charpenterie"
météorologiste,bureaux de consultation
météorologue,administration publique
nacrier,industrie du papier
naisseur,vachers célibataires
naisseuse,industrie textile
naiveur,"construction,charpenterie"
napeuse d'étoffe,industrie textile
nattier,"bijouterie,gravure,frappe"
nattière,industrie textile
naturaliste,"agences,locations,consultations"
navetier,produits alimentaires
navigateur,transports
navigateur aérien,transports
navigateur dans l'aviation,transports
negociant,commerce de gros
negot.,commerce de détail
nettoyeur,réparations
nettoyeur cff,réparations
nettoyeur de voitures,réparations
nettoyeur-presseur,réparations
nettoyeuse de bonnets,industrie textile
nielleur,industrie textile
niveleur,"construction,charpenterie"
nivoculteur,employées pour le ménage et la ferme
nivocultrice,employées pour le ménage et la ferme
nochier,"construction,charpenterie"
notable,administration publique
notaire,"agences,locations,consultations"
notaire et avocat,bureaux de consultation
notaire et procureur,"agences,locations,consultations"
notaire et syndic,"agences,locations,consultations"
notaire honoraire,bureaux de consultation
notaire impérial,"agences,locations,consultations"
notaire propriétaire,"agences,locations,consultations"
notaire public,bureaux de consultation
notaire royal,bureaux de consultation
notateur,bureaux de consultation
noteur,bureaux de consultation
nougatier,produits alimentaires
nourrice,employées pour le ménage et la ferme
nourrice agréée,employées pour le ménage et la ferme
nourrisseuse,employées pour le ménage et la ferme
noyauteur,"journaliers,entretien"
noyauteur en fonderie,industrie des métaux
np,réparations
nurse,employées pour le ménage et la ferme
nutritionniste,produits alimentaires
négociant,commerce de gros
négociant armateur,commerce de gros
négociant chevalier de la légion d'honneur,commerce de gros
négociant commissionaire,commerce de gros
négociant d'amandes,commerce de gros
négociant en bestiaux,commerce de gros
négociant en bois,"bois,liège,meubles"
négociant en café,commerce de gros
négociant en chapellerie,commerce de détail
négociant en charbon,commerce de gros
négociant en chaussures,commerce de détail
négociant en couennerie,commerce de gros
négociant en coutellerie,commerce de détail
négociant en cuir,commerce de gros
négociant en cuir et crépins,commerce de gros
négociant en cycles,commerce de détail
négociant en droguerie,commerce de gros
négociant en fer,industrie des métaux
négociant en fourrures,commerce de gros
négociant en fruits,produits alimentaires
négociant en fruits et légumes,commerce de gros
négociant en grains,commerce de gros
négociant en gros,commerce de gros
négociant en houblon,commerce de gros
négociant en laines,commerce de gros
négociant en lingerie,"vêtements, lingerie,chaussures,literies"
négociant en matériaux,commerce de gros
négociant en matériel électrique,commerce de gros
négociant en mercerie,commerce de détail
négociant en meubles,commerce de détail
négociant en mode,commerce de détail
négociant en métaux,industrie des métaux
négociant en nouveautés,commerce de détail
négociant en outillage,commerce de gros
négociant en peaux,commerce de gros
négociant en pharmacie,industrie chimique
négociant en pianos,commerce de détail
négociant en porcs,commerce de gros
négociant en primeurs,commerce de gros
négociant en produits agricoles,commerce de gros
négociant en spiritueux,commerce de gros
négociant en tabac,commerce de détail
négociant en tissus,commerce de détail
négociant en toile,industrie textile
négociant en toilerie,"vêtements, lingerie,chaussures,literies"
négociant en toiles,industrie textile
négociant en tsf,commerce de gros
négociant en vannerie,commerce de gros
négociant en vin,commerce de gros
négociant en vin de champagne,commerce de gros
négociant en vins,commerce de gros
négociant en vins et conseiller municipal,commerce de gros
négociant en volailles,produits alimentaires
négociant et adjoint au syndic,commerce de gros
négociant et chevalier légion d'honneur,commerce de gros
négociant et conseiller général de l'isère et officier de l',"agences,locations,consultations"
négociant et juge au tribunal de commerce,"banques,établissements financiers"
négociant et président du tribunal de commerce de verdun et,commerce de gros
négociant et syndic adjoint,commerce de gros
négociant industriel,commerce de gros
négociant propriétaire,commerce de gros
négociant propriétaire et syndic,commerce de gros
négociant tanneur,
négociante,commerce de détail
négociante en cuirs,commerce de détail
négociante en houblon,commerce de gros
négociante en lingerie,"vêtements, lingerie,chaussures,literies"
négociante en mercerie,commerce de détail
négociante en toile,"vêtements, lingerie,chaussures,literies"
négociante en vin,commerce de détail
observatrice,"agences,locations,consultations"
observatrice au,administration publique
observer at the,"journaliers,entretien"
occupée au ménage,employées pour le ménage et la ferme
occupée de ménage,employées pour le ménage et la ferme
oenologue,produits alimentaires
officier,administration publique
officier administratif,administration publique
officier ancien,administration publique
officier au 1er bataillon,administration publique
officier d'administration,administration publique
officier d'administration en retraite,administration publique
officier d'artillerie,administration publique
officier d'assurance-chômage,assurances privées
officier d'aviation,transports
officier d'octroi,administration publique
officier d'état civil,administration publique
officier de carrière,administration publique
officier de cavalerie,administration publique
officier de gendarmerie,administration publique
officier de gendarmerie en retraite,administration publique
officier de l'armement,industrie des métaux
officier de l'armée,administration publique
officier de l'armée de l'air,administration publique
officier de l'armée de terre,administration publique
officier de l'état civil,administration publique
officier de la marine anglaise,administration publique
officier de la marine marchande,transports
officier de la marine marchande en retraite,transports
officier de la marine marchande quartier-maître radio,transports
officier de marine,administration publique
officier de marine démissionnaire,administration publique
officier de marine marchande,transports
officier de marine retraité,administration publique
officier de paix,administration publique
officier de paix principal,administration publique
officier de police,administration publique
officier de police adjoint,administration publique
officier de police principal,administration publique
officier de police retraité,administration publique
officier de recherche,bureaux de consultation
officier de revenu,"banques,établissements financiers"
officier de santé,administration publique
officier des douanes,administration publique
officier du génie,administration publique
officier en armée,administration publique
officier en non activité et chevalier de l'ordre royal de la,administration publique
officier en retraite,administration publique
officier ex,administration publique
officier marin,transports
officier marinier,administration publique
officier pensionné,administration publique
officier radiotélégraphiste de la marine marchande,transports
officier retraité,administration publique
officier retraité et chevalier lh,administration publique
officier supérieur,administration publique
officier supérieur retaité,administration publique
officier supérieur retraité,administration publique
offier supérieur a la retraite,administration publique
oléiculteur,produits alimentaires
oléicultrice,produits alimentaires
ons,"journaliers,entretien"
opj,réparations
opticien,commerce de détail
opticien de précision,"bijouterie,gravure,frappe"
opticienne,commerce de détail
optométriste,"agences,locations,consultations"
opérateur,industrie chimique
opérateur au ,industrie des métaux
opérateur de bouilloire,industrie chimique
opérateur de casse-pierre,pierre et terre
opérateur de chargeur,"construction,charpenterie"
opérateur de cinéma,arts graphiques
opérateur de cinéma en retraite,arts graphiques
opérateur de la cie coca-cola,produits alimentaires
opérateur de la cie d'arvida,industrie des métaux
opérateur de machine,industrie du papier
opérateur de machine à sulphite,industrie chimique
opérateur de machinerie lourde,"construction,charpenterie"
opérateur de pont roulant,industrie des métaux
opérateur de pouvoir électrique,"gaz,eau,éléctricité"
opérateur de téléphone,"agences,locations,consultations"
opérateur de télétype,bureaux de consultation
opérateur de vues animées,arts graphiques
opérateur en informatique,"agences,locations,consultations"
opérateur en mécanographie,bureaux de consultation
opérateur en télécommunication,"agences,locations,consultations"
opérateur funéraire,"employés pour tous,célibataires"
opérateur ibm,bureaux de consultation
opérateur informatique,bureaux de consultation
opérateur mécanicien,industrie des métaux
opérateur mécanographe,"agences,locations,consultations"
opérateur projectionniste,arts graphiques
opérateur pupitreur,industrie chimique
opérateur pétrolier,industrie chimique
opérateur radio,transports
opérateur raffinage,industrie chimique
opérateur saguenay power,"gaz,eau,éléctricité"
opérateur sur machine à commande numérique,industrie des métaux
opérateur topographe,"construction,charpenterie"
opérateur à la saguenay fourniture,commerce de détail
opérateur-radio,transports
opérateur-typographe,arts graphiques
opératrice,"agences,locations,consultations"
opératrice au,réparations
opératrice de diffusion,arts graphiques
opératrice de machine comptable,"banques,établissements financiers"
opératrice de machine à coudre,industrie textile
opératrice de saisie,bureaux de consultation
opératrice de téléphone,"agences,locations,consultations"
opératrice en informatique,"agences,locations,consultations"
opératrice funéraire,employées pour le ménage et la ferme
opératrice sur machine à commande numérique,industrie des métaux
oratrice,arts graphiques
ordonnateur,administration publique
ordonnateur de pompes funèbres,"agences,locations,consultations"
orero,réparations
orfèvre,"bijouterie,gravure,frappe"
orfèvresse,"bijouterie,gravure,frappe"
organisateur de mariage,"agences,locations,consultations"
organisateur syndical,"agences,locations,consultations"
organisatrice de mariage,"agences,locations,consultations"
organist,arts graphiques
organiste,arts graphiques
orientateur,bureaux de consultation
ornemaniste,arts graphiques
orpailleur,pierre et terre
orpailleuse,pierre et terre
orthophoniste,"agences,locations,consultations"
orthopédiste,réparations
orthopédiste retraite,"agences,locations,consultations"
osiériculteur,employées pour le ménage et la ferme
osiéricultrice,employées pour le ménage et la ferme
ostréiculteur,produits alimentaires
ostréicultrice,produits alimentaires
oublieu,réparations
oublieur,réparations
oulier,"bijouterie,gravure,frappe"
ourdisseur,industrie textile
ourdisseuse,industrie textile
outilleur,industrie des métaux
outilleur ajusteur,industrie des métaux
outilleuse,industrie des métaux
ouvreur,réparations
ouvreuse,"hôtellerie,restauration"
ouvreuse de théâtre,"hôtellerie,restauration"
ouvrier,"journaliers,entretien"
ouvrier abatteur,"bois,liège,meubles"
ouvrier agricole,"journaliers,entretien"
ouvrier ajusteur,industrie des métaux
ouvrier ajusteur mecanicien,industrie des métaux
ouvrier appreteur,industrie textile
ouvrier appreteur d'étoffes,industrie textile
ouvrier appreteur de velours,industrie textile
ouvrier ardoisier,pierre et terre
ouvrier armurier,industrie des métaux
ouvrier arsenal,industrie des métaux
ouvrier au chemin de fer,transports
ouvrier au peignage,industrie textile
ouvrier au port,transports
ouvrier au télégraphe,"gaz,eau,éléctricité"
ouvrier aux acieries,industrie des métaux
ouvrier aux chantiers de la seyne,"construction,charpenterie"
ouvrier aux chemins de fer,transports
ouvrier aux fonderies,industrie des métaux
ouvrier aux forges,industrie des métaux
ouvrier aux mines,industrie des métaux
ouvrier aux tabacs,industrie du papier
ouvrier balancier,industrie des métaux
ouvrier batelier,transports
ouvrier beurrier,produits alimentaires
ouvrier bijoutier,"bijouterie,gravure,frappe"
ouvrier blanchisseur,industrie textile
ouvrier bonnetier,industrie textile
ouvrier bottier,"vêtements, lingerie,chaussures,literies"
ouvrier boucher,produits alimentaires
ouvrier boulanger,produits alimentaires
ouvrier boulanger militaire,produits alimentaires
ouvrier bourrelier,
ouvrier boutonnier,industrie textile
ouvrier brasseur,produits alimentaires
ouvrier briquetier,pierre et terre
ouvrier brossier,industrie du papier
ouvrier buandier,industrie textile
ouvrier cafetier,"hôtellerie,restauration"
ouvrier caissier,commerce de détail
ouvrier cardeur,industrie textile
ouvrier carotteur,"bois,liège,meubles"
ouvrier carreleur,"construction,charpenterie"
ouvrier carrier,pierre et terre
ouvrier carrossier,industrie des métaux
ouvrier cartonnier,industrie du papier
ouvrier ceinturier,
ouvrier cff,transports
ouvrier chaisier,produits alimentaires
ouvrier champignonniste,produits alimentaires
ouvrier chapelier,"vêtements, lingerie,chaussures,literies"
ouvrier charbonnier,industrie du papier
ouvrier charcutier,produits alimentaires
ouvrier chargeur,transports
ouvrier charpentier,"construction,charpenterie"
ouvrier charpentier au port,"construction,charpenterie"
ouvrier charron,industrie des métaux
ouvrier chaudronnier,industrie des métaux
ouvrier chaudronnier et ferblantier,industrie des métaux
ouvrier chausseur,"vêtements, lingerie,chaussures,literies"
ouvrier chocolatier,produits alimentaires
ouvrier cigarier,industrie du papier
ouvrier cimentier,pierre et terre
ouvrier coiffeur,réparations
ouvrier concasseur,pierre et terre
ouvrier confiseur,produits alimentaires
ouvrier cordier,industrie textile
ouvrier cordonnier,"vêtements, lingerie,chaussures,literies"
ouvrier cordonnier propriétaire,"vêtements, lingerie,chaussures,literies"
ouvrier corroyeur,industrie textile
ouvrier coutelier,industrie des métaux
ouvrier couvreur,"construction,charpenterie"
ouvrier cristallier,
ouvrier cultivateur,"journaliers,entretien"
ouvrier câbleur,industrie des métaux
ouvrier céramiste,pierre et terre
ouvrier d'entretien,"journaliers,entretien"
ouvrier d'entretien aux ponts et chaussées,"journaliers,entretien"
ouvrier d'entretien de la voie publique,"journaliers,entretien"
ouvrier d'entretien de la voie publique et garde champêtre,administration publique
ouvrier d'entretien stagiaire,"journaliers,entretien"
ouvrier d'usine,industrie du papier
ouvrier d'usine de textiles,industrie textile
ouvrier d'usine en retraite,industrie chimique
ouvrier d'usine retraité,industrie du papier
ouvrier d'usine spécialisé,industrie chimique
ouvrier d'usine textile,industrie textile
ouvrier dans le cuir,industrie textile
ouvrier de blanchisserie,industrie textile
ouvrier de brasserie,produits alimentaires
ouvrier de canal,"construction,charpenterie"
ouvrier de cartonnerie,industrie du papier
ouvrier de cave,commerce de détail
ouvrier de chais,produits alimentaires
ouvrier de champs,"journaliers,entretien"
ouvrier de culture,"journaliers,entretien"
ouvrier de distillerie,industrie chimique
ouvrier de fabrication,industrie du papier
ouvrier de fabrique,industrie textile
ouvrier de fabrique de talons,industrie du papier
ouvrier de fabrique et cultivateur,industrie textile
ouvrier de ferme,employées pour le ménage et la ferme
ouvrier de filature,industrie textile
ouvrier de fonderie,industrie des métaux
ouvrier de fonderie retraité,industrie des métaux
ouvrier de forge,industrie des métaux
ouvrier de forêt,"bois,liège,meubles"
ouvrier de fourneau à fer,industrie des métaux
ouvrier de gare,transports
ouvrier de l'arsenal,industrie des métaux
ouvrier de labour,"journaliers,entretien"
ouvrier de laiterie,produits alimentaires
ouvrier de meunerie,produits alimentaires
ouvrier de mine,industrie des métaux
ouvrier de quai,transports
ouvrier de scierie,"bois,liège,meubles"
ouvrier de sucrerie,produits alimentaires
ouvrier de tannerie,industrie textile
ouvrier de textile,industrie textile
ouvrier distillateur,industrie chimique
ouvrier doreur,"bijouterie,gravure,frappe"
ouvrier drapier,industrie textile
ouvrier du bâtiment,"construction,charpenterie"
ouvrier du papier,industrie du papier
ouvrier du port,transports
ouvrier du textile,industrie textile
ouvrier en bas,"construction,charpenterie"
ouvrier en bas et drapier,industrie textile
ouvrier en bâtiments,"construction,charpenterie"
ouvrier en cartonnerie,industrie du papier
ouvrier en chapeaux de paille,industrie textile
ouvrier en chapellerie,industrie textile
ouvrier en chaussures,"vêtements, lingerie,chaussures,literies"
ouvrier en chocolaterie,produits alimentaires
ouvrier en confection,industrie textile
ouvrier en construction,"construction,charpenterie"
ouvrier en coton,industrie textile
ouvrier en drap,industrie textile
ouvrier en galoches,"vêtements, lingerie,chaussures,literies"
ouvrier en laine,industrie textile
ouvrier en lin,industrie textile
ouvrier en métallurgie,industrie des métaux
ouvrier en papeterie,industrie du papier
ouvrier en papiers peints,industrie du papier
ouvrier en parapluies,industrie du papier
ouvrier en parfumerie,industrie chimique
ouvrier en peignes,industrie du papier
ouvrier en peignes de corne,industrie des métaux
ouvrier en poterie,pierre et terre
ouvrier en soie,industrie textile
ouvrier en soierie,industrie textile
ouvrier en tabacs,produits alimentaires
ouvrier en textile,industrie textile
ouvrier en usine,industrie du papier
ouvrier en velours,industrie textile
ouvrier et soldat,administration publique
ouvrier fabricant,industrie textile
ouvrier fabricant de bas,industrie textile
ouvrier fabricant de brosses,industrie du papier
ouvrier fabricant de carton,industrie du papier
ouvrier fabricant de coton,industrie textile
ouvrier fabricant de tabac,produits alimentaires
ouvrier facteur de pianos,"bois,liège,meubles"
ouvrier faiencier,pierre et terre
ouvrier ferblantier,industrie des métaux
ouvrier fileur,industrie textile
ouvrier filtier,industrie chimique
ouvrier fondeur,industrie des métaux
ouvrier fondeur de cloches,industrie des métaux
ouvrier fondeur de cuivre,industrie des métaux
ouvrier forestier,"bois,liège,meubles"
ouvrier forgeron,industrie des métaux
ouvrier forgeron maréchal ferrant,industrie des métaux
ouvrier forgeron à la marine,industrie des métaux
ouvrier fourreur,industrie textile
ouvrier frappeur,"bijouterie,gravure,frappe"
ouvrier frigoriste,réparations
ouvrier fromager,produits alimentaires
ouvrier fumiste,réparations
ouvrier galochier,industrie du papier
ouvrier gantier,industrie textile
ouvrier garagiste,réparations
ouvrier gazier,"gaz,eau,éléctricité"
ouvrier graveur,"bijouterie,gravure,frappe"
ouvrier hautement qualifié,industrie des métaux
ouvrier horloger,horlogerie
ouvrier horticole,"journaliers,entretien"
ouvrier horticulteur,"journaliers,entretien"
ouvrier hortillon,"journaliers,entretien"
ouvrier houilleur,industrie du papier
ouvrier huilier,industrie chimique
ouvrier imprimeur,arts graphiques
ouvrier imprimeur de papier de peint,arts graphiques
ouvrier imprimeur en papier peint,arts graphiques
ouvrier industriel,industrie du papier
ouvrier jardinier,"journaliers,entretien"
ouvrier journalier,"journaliers,entretien"
ouvrier laboureur,"journaliers,entretien"
ouvrier laitier,produits alimentaires
ouvrier lamineur,industrie des métaux
ouvrier liquoriste,produits alimentaires
ouvrier magasin,commerce de détail
ouvrier malteur,industrie chimique
ouvrier manoeuvre,"journaliers,entretien"
ouvrier manutentionnaire,"journaliers,entretien"
ouvrier maraîcher,produits alimentaires
ouvrier marbrier,pierre et terre
ouvrier marchand de vin,commerce de détail
ouvrier marinier,transports
ouvrier maroquinier,industrie textile
ouvrier maréchal,industrie des métaux
ouvrier maréchal ferrant,industrie des métaux
ouvrier maréchal ferrant et soldat,industrie des métaux
ouvrier maçon,"construction,charpenterie"
ouvrier maçon et charpentier,"construction,charpenterie"
ouvrier maçon retraité,"construction,charpenterie"
ouvrier menuisier,"construction,charpenterie"
ouvrier meunier,produits alimentaires
ouvrier michelin,industrie des métaux
ouvrier mineur,industrie des métaux
ouvrier mineur retraité,industrie des métaux
ouvrier minotier,produits alimentaires
ouvrier monteur,industrie des métaux
ouvrier mouleur,industrie des métaux
ouvrier moulinier,industrie du papier
ouvrier municipal,administration publique
ouvrier mécanicien,industrie des métaux
ouvrier mécanicien au port,transports
ouvrier mécanographe,arts graphiques
ouvrier mégissier,industrie du papier
ouvrier métallurgiste,industrie des métaux
ouvrier opticien,
ouvrier orfèvre,"bijouterie,gravure,frappe"
ouvrier ostreiculteur,produits alimentaires
ouvrier p3,industrie du papier
ouvrier papetier,industrie du papier
ouvrier pareur,"construction,charpenterie"
ouvrier parfumeur,industrie chimique
ouvrier passementier,industrie textile
ouvrier pave,"construction,charpenterie"
ouvrier paveur,"construction,charpenterie"
ouvrier paysagiste,"construction,charpenterie"
ouvrier peigneur,industrie textile
ouvrier peigneur de chanvre,industrie textile
ouvrier peigneur de laine,industrie textile
ouvrier peintre,arts graphiques
ouvrier peintre en batîment,"construction,charpenterie"
ouvrier peintre en bâtiment,"construction,charpenterie"
ouvrier peintre en equipages,industrie du papier
ouvrier peintre en voitures,industrie chimique
ouvrier pelletier,"vêtements, lingerie,chaussures,literies"
ouvrier pensionné,administration publique
ouvrier peseur d'houille,industrie du papier
ouvrier phosphatier,industrie chimique
ouvrier pisciculteur,"journaliers,entretien"
ouvrier plafonneur,"construction,charpenterie"
ouvrier plafonnier,"construction,charpenterie"
ouvrier plombier,"construction,charpenterie"
ouvrier plombier-zinguer,industrie des métaux
ouvrier plâtreur,"construction,charpenterie"
ouvrier plâtrier,"construction,charpenterie"
ouvrier poissonnier,produits alimentaires
ouvrier polisseur,industrie des métaux
ouvrier porcelainier,pierre et terre
ouvrier potier,pierre et terre
ouvrier poêlier,industrie du papier
ouvrier poëlier,industrie du papier
ouvrier poëlier ferblantier,industrie des métaux
ouvrier principal,industrie du papier
ouvrier professionnel,réparations
ouvrier professionnel qualifié,"journaliers,entretien"
ouvrier pâtissier,produits alimentaires
ouvrier pâtissier boulanger,produits alimentaires
ouvrier pépiniériste,pierre et terre
ouvrier qualifié,réparations
ouvrier raboteur,"bois,liège,meubles"
ouvrier raffineur de sucre,
ouvrier rectifieur,industrie des métaux
ouvrier relieur,industrie du papier
ouvrier retraité,administration publique
ouvrier riveur,industrie des métaux
ouvrier rural,"journaliers,entretien"
ouvrier sabotier,"bois,liège,meubles"
ouvrier sagard,industrie du papier
ouvrier saunier,pierre et terre
ouvrier scieur,"bois,liège,meubles"
ouvrier scieur de long,"bois,liège,meubles"
ouvrier scieur et cultivateur,"bois,liège,meubles"
ouvrier sellier,"vêtements, lingerie,chaussures,literies"
ouvrier serrurier,industrie des métaux
ouvrier serrurier ajusteur,industrie des métaux
ouvrier serrurier au port militaire de cherbourg,industrie des métaux
ouvrier serrurier poêlier,industrie des métaux
ouvrier soudeur,industrie des métaux
ouvrier soutireur,industrie du papier
ouvrier soutireur de vin,produits alimentaires
ouvrier spécialisé,industrie des métaux
ouvrier spécialisé  à l'arsenal,industrie des métaux
ouvrier spécialisé en chimie,industrie chimique
ouvrier spécialisé machine,industrie des métaux
ouvrier spécialisé retraité,réparations
ouvrier sur la voie ferrée,transports
ouvrier sur les ports,transports
ouvrier sur presse,industrie du papier
ouvrier taillandier,"bois,liège,meubles"
ouvrier tailleur,industrie textile
ouvrier tailleur d'habits,industrie textile
ouvrier tailleur de pierres,pierre et terre
ouvrier tanneur,industrie textile
